code,name,Code
1,ST中润,000506.SZ
2,ST人乐,002336.SZ
3,ST东园,002310.SZ
4,ST中利,002309.SZ
5,ST云网,002306.SZ
6,ST合泰,002217.SZ
7,ST东晶,002199.SZ
8,ST贤丰,002141.SZ
9,ST同洲,002052.SZ
10,ST导航,688282.SH
11,ST天创,603608.SH
12,ST通脉,603559.SH
13,ST傲农,603363.SH
14,ST中基,000972.SZ
15,ST威帝,603023.SH
16,ST龙宇,603003.SH
17,ST景峰,000908.SZ
18,ST东方,600811.SH
19,ST鹏博,600804.SH
20,ST文投,600715.SH
21,ST九有,600462.SH
22,ST海越,600387.SH
23,ST汉马,600375.SH
24,ST信通,600289.SH
25,ST科新,600234.SH
26,ST宁科,600165.SH
27,ST和展,000809.SZ
28,ST富润,600070.SH
29,ST旭蓝,000040.SZ
30,ST中地,000736.SZ
31,ST恒宇,300965.SZ
32,ST京蓝,000711.SZ
33,ST普利,300630.SZ
34,ST农尚,300536.SZ
35,ST金科,000656.SZ
36,ST名家,300506.SZ
37,ST开元,300338.SZ
38,ST恒立,000622.SZ
39,ST长方,300301.SZ
40,ST佳沃,300268.SZ
41,ST中迪,000609.SZ
42,ST有树,300209.SZ
43,ST中程,300208.SZ
44,ST迪威,300167.SZ
45,ST新研,300159.SZ
46,ST嘉寓,300117.SZ
47,ST吉药,300108.SZ
48,ST工智,000584.SZ
49,ST银江,300020.SZ
50,ST新宁,300013.SZ
51,ST金时,002951.SZ
52,ST龙津,002750.SZ
53,ST仁东,002647.SZ
54,ST围海,002586.SZ
